"variasi","menginap","hari","pendapatan"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","YA","5,00","34.418,00"
"B","TIDAK","0,00","0,00"
"B","YA","3,00","14.669,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","YA","2,00","12.226,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","YA","3,00","16.852,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
